rawsum,joint_angle
0,133.6437241
0,131.3416054
0,126.7373679
0,126.5191321
0,126.3008963
0,126.0826605
0,125.6461889
0,124.9502615
0,124.2543341
0,123.5584067
0,122.8624793
0,121.4706244
0,123.2533772
0,125.03613
0,126.8188828
94,128.6016356
323,132.1671412
630,133.0507282
1182,133.9343152
1996,134.8179022
2565,135.7014892
2700,137.4686632
3029,139.3963571
3230,141.324051
3395,143.2517449
3657,145.1794387
4053,149.0348265
4200,152.7913382
4041,156.54785
3989,160.3043617
4231,167.8173852
4264,167.9221256
4254,168.026866
4094,168.1316065
4387,168.2363469
4207,168.4458277
4028,168.4493313
3813,168.4528348
3657,168.4563384
3459,168.4598419
3280,168.466849
3130,167.4981282
2960,166.5294075
2863,165.5606867
2808,163.6232453
2806,163.3411589
2819,163.0590725
2858,162.7769861
2837,162.4948997
2895,161.9307269
2847,162.2559091
2878,162.5810914
2958,162.9062736
3013,163.5566381
3196,163.9031678
3271,164.2496974
3414,164.596227
3644,164.9427567
3769,165.635816
3955,165.2874201
4061,164.9390243
4168,164.5906285
4289,163.8938368
4347,164.404893
4366,164.9159492
4416,165.4270055
4402,165.9380617
4333,166.9601741
4098,166.9359038
4041,166.9116335
3660,166.8873631
3263,166.8630928
3104,166.8145522
2806,166.7977884
2262,166.7810246
1637,166.7642608
1044,166.747497
578,166.7139694
317,166.1126763
115,165.5113832
0,164.91009
0,163.7075038
0,163.4420921
0,163.1766804
0,162.9112687
0,162.645857
0,162.1150336
0,162.3184542
0,162.5218749
0,162.7252955
0,162.9287161
0,163.3355573
0,162.0721323
0,160.8087073
0,159.5452824
0,158.2818574
0,155.7550074
0,155.4662634
0,155.1775193
0,154.8887753
0,154.6000313
0,154.0225432
0,151.1599977
0,148.2974521
0,145.4349066
0,142.572361
0,136.8472699
0,136.6152064
0,136.3831429
0,136.1510793
0,135.9190158
0,135.4548888
0,133.0197105
0,130.5845323
0,128.1493541
0,125.7141759
0,120.8438195
0,124.2253402
0,127.606861
0,130.9883817
0,134.3699024
128,141.1329439
390,138.9971635
862,136.8613831
1323,134.7256027
1841,132.5898223
2442,128.3182616
2807,131.2722719
3047,134.2262822
3067,137.1802925
3265,140.1343029
3423,146.0423235
3614,148.5761891
3703,151.1100546
3843,153.6439202
3943,158.7116514
3990,159.630534
3982,160.5494167
3980,161.4682994
3929,163.3060647
3801,164.0264774
3572,164.7468901
3453,165.4673028
3190,166.1877155
2714,166.9081283
2580,168.3489537
2427,167.8140296
2322,167.2791055
2387,166.7441814
2330,166.2092574
2293,165.1394092
2262,164.7448436
2285,164.350278
2275,163.9557124
2349,163.5611468
2382,162.7720155
2433,162.7510275
2582,162.7300394
2652,162.7090514
2757,162.6670753
2982,162.5604187
3200,162.453762
3387,162.3471054
3593,162.1337921
3775,161.9852065
3919,161.836621
4086,161.6880355
4201,161.5394499
4303,161.2422788
4392,161.4014375
4403,161.5605961
4366,161.7197548
4207,161.8789134
3903,162.1972307
3802,162.8300819
3586,163.4629331
3248,164.0957842
2927,164.7286354
2509,165.3614866
1989,166.627189
1435,167.1733927
983,167.7195965
616,168.2658003
289,168.8120041
82,169.9044117
0,168.9330705
0,167.9617293
0,166.9903881
0,166.0190469
0,164.0763645
0,163.9886518
0,163.9009391
0,163.8132264
0,163.7255137
0,163.5500882
0,162.580716
0,161.6113437
0,160.6419714
0,158.7032268
0,157.8692293
0,157.0352318
0,156.2012343
0,155.3672368
0,153.6992418
0,151.7720189
0,149.8447959
0,147.9175729
0,145.99035
0,142.135904
0,139.2396624
0,136.3434208
0,133.4471792
0,130.5509377
0,124.7584545
0,124.7972666
0,124.8360787
0,124.8748908
0,124.9137029
0,124.952515
0,125.0301393
0,125.5114133
0,125.9926874
0,126.4739614
0,126.9552354
0,127.9177835
0,127.7246519
81,127.5315204
356,127.3383888
797,126.9521257
1364,128.7294577
1972,130.5067898
2638,132.2841219
3076,134.0614539
3388,137.616118
3452,139.5358235
3686,141.455529
4031,143.3752344
4137,145.2949399
4297,149.1343508
4404,151.5335408
4532,153.9327307
4608,156.3319207
4645,158.7311107
4626,163.5294906
4583,163.7678487
4607,164.0062068
4388,164.2445649
4113,164.7212811
3815,164.4824936
3586,164.2437062
3358,164.0049188
3110,163.7661314
2959,163.2885565
2700,162.7910424
2544,162.2935283
2529,161.7960142
2531,161.2985
2481,160.3034718
2506,160.9348497
2541,161.5662277
2571,162.1976056
2619,162.8289835
2617,164.0917393
2678,164.3610638
2709,164.6303883
2851,164.8997128
2961,165.1690373
3150,165.7076863
3294,165.698691
3513,165.6896957
3664,165.6807004
3823,165.671705
3974,165.6537144
4138,165.3855296
4268,165.1173448
4371,164.84916
4417,164.3127905
4417,164.1396933
4432,163.9665961
4138,163.793499
3889,163.6204018
3696,163.4473046
3407,163.1011103
3034,163.699028
2660,164.2969457
2158,164.8948634
1519,165.4927811
1126,166.6886164
681,167.3091854
355,167.9297544
86,168.5503233
0,169.7914613
0,168.2254995
0,166.6595376
0,165.0935758
0,163.527614
0,161.9616521
0,158.8297285
0,158.8376235
0,158.8455185
0,158.8534135
0,158.8613085
0,158.8770986
0,157.7557875
0,156.6344764
0,155.5131653
0,153.2705432
0,152.7462771
0,152.222011
0,151.6977449
0,151.1734789
0,150.1249467
0,146.9923965
0,143.8598463
0,140.727296
0,137.5947458
0,131.3296454
0,130.9104182
0,130.4911911
0,130.0719639
0,129.6527367
0,128.8142824
0,128.051921
0,127.2895596
0,126.5271982
0,125.7648368
0,124.2401141
0,124.5629476
0,124.8857811
0,125.2086146
0,125.8542817
0,126.811589
24,127.7688964
359,128.7262037
770,129.683511
1292,131.5981257
1991,133.0902888
2694,134.5824519
3125,136.074615
3354,137.5667781
3425,139.0589411
3497,142.0432673
