rawsum,joint_angle
2426,150.7398681
2610,151.1281649
2741,151.5164617
2812,151.9047584
2845,152.2930552
2841,153.0696487
2787,150.9477056
2645,148.8257624
2476,146.7038192
2265,144.581876
2095,140.3379897
1948,139.5375235
1780,138.7370573
1670,137.9365911
1531,137.136125
1456,135.5351926
1391,135.4833258
1313,135.4314589
1302,135.3795921
1258,135.3277253
1212,135.2239917
1221,136.9546553
1220,138.6853189
1269,140.4159824
1314,142.146646
1360,145.6079732
1451,146.8372754
1563,148.0665775
1670,149.2958797
1763,150.5251818
1886,152.9837861
2075,153.7350291
2373,154.4862721
2519,155.2375151
2684,155.9887581
2830,157.4912441
2926,156.9988041
3004,156.5063642
3056,156.0139242
2945,155.5214842
2902,154.5366043
2771,154.9836201
2548,155.430636
2194,155.8776518
1890,156.3246677
1629,157.2186993
1195,158.1556376
854,159.0925758
549,160.0295141
224,160.9664523
59,162.8403288
0,163.6962363
0,164.5521439
0,165.4080514
0,167.1198665
0,166.1400661
0,165.1602658
0,164.1804654
0,162.2208647
0,162.2391852
0,162.2575058
0,162.2758263
0,162.2941469
0,162.3124674
0,162.3491085
0,160.3446278
0,158.3401471
0,156.3356664
0,154.3311857
0,150.3222242
0,150.3125245
0,150.3028247
0,150.293125
0,150.2834253
0,150.2640258
0,145.8666023
0,141.4691788
0,137.0717552
0,128.2769082
0,126.0767925
0,123.8766769
0,121.6765612
0,119.4764456
0,115.0762142
0,114.9740166
0,114.8718191
0,114.7696215
0,114.6674239
0,114.4630287
0,116.1675821
0,117.8721355
0,119.5766889
19,121.2812422
228,124.690349
478,125.9594547
656,127.2285603
820,128.497666
1036,129.7667717
1235,132.3049831
1419,135.2249079
1611,138.1448327
1813,141.0647576
2032,143.9846824
2254,149.8245321
2431,150.3959338
2545,150.9673356
2675,151.5387373
2736,152.1101391
2707,153.2529426
2597,152.8433039
2435,152.4336653
2303,152.0240266
2092,151.2047493
1925,151.0877265
1735,150.9707038
1579,150.853681
1471,150.7366582
1386,150.5026126
1320,152.9891221
1258,155.4756316
1205,157.9621411
1190,160.4486505
1217,165.4216695
1233,163.6343825
1176,161.8470956
1214,160.0598087
1232,158.2725217
1286,154.6979478
1344,157.939567
1540,161.1811861
1655,164.4228052
1781,170.9060435
1908,169.5801837
2065,168.2543238
2206,166.928464
2364,165.6026042
2577,162.9508845
2705,161.9378745
2847,160.9248646
2820,159.9118546
3067,158.8988447
2950,156.8728247
3029,158.3861741
3224,159.8995236
3003,161.412873
2919,164.4395718
2788,163.8306089
2617,163.221646
2392,162.6126831
2079,162.0037202
1743,160.7857944
1310,161.1080459
846,161.4302974
532,161.7525489
280,162.0748004
70,162.3970519
