rawsum,joint_angle
2028,170.0751862
1862,171.0944655
1810,170.9298884
1753,170.7653113
1720,170.6007343
1716,170.4361572
1764,170.1070031
1812,168.7470812
1874,167.3871594
1939,166.0272375
2008,164.6673157
2108,161.9474719
2138,161.8545687
2264,161.7616655
2433,161.6687623
2546,161.5758591
2719,161.3900527
2845,161.3421586
3001,161.2942646
3115,161.2463705
3267,161.1984764
3381,161.1026883
3500,161.0166886
3609,160.9306888
3704,160.8446891
3771,160.6726897
3816,161.2449006
3876,161.8171116
3907,162.3893226
3698,162.9615336
3698,163.5337446
3614,164.6781665
3545,164.7268949
3371,164.7756233
3072,164.8243517
2862,164.9218085
2536,164.3334421
2138,163.7450757
1701,163.1567093
1192,162.5683428
725,161.39161
436,158.0765932
150,154.7615763
37,151.4465595
0,148.1315427
0,141.501509
0,144.2773225
0,147.053136
0,149.8289496
0,152.6047631
0,158.1563901
0,157.4718113
0,156.7872326
0,156.1026538
0,155.418075
0,154.0489175
0,153.7493392
0,153.4497608
0,153.1501825
0,152.8506042
0,152.2514476
0,150.4668705
0,148.6822934
0,146.8977163
0,143.3285622
0,143.0560258
0,142.7834895
0,142.5109531
0,142.2384168
0,141.6933441
0,136.6591163
0,131.6248885
0,126.5906607
0,116.522205
0,115.7689057
0,115.0156064
0,114.2623071
0,113.5090078
0,112.0024091
0,114.3563444
0,116.7102796
0,119.0642149
0,121.4181501
0,126.1260206
51,130.4911156
384,134.8562107
842,139.2213057
1327,143.5864008
1982,152.3165909
2402,156.7201113
2637,161.1236317
2892,165.5271521
3072,169.9306725
3238,178.7377133
3308,179.0337083
3403,179.3297034
3506,179.6256985
3581,179.9216935
3570,180.5136836
3533,179.3163319
3447,178.1189802
3347,176.9216284
3178,175.7242767
2916,173.3295732
2675,173.9217702
2391,174.5139672
2053,175.1061642
1888,176.2905582
1718,175.8524779
1672,175.4143977
1578,174.9763175
1581,174.5382372
1584,173.6620768
1598,170.6959569
1613,167.729837
1655,164.7637171
1773,161.7975972
1807,155.8653575
1928,155.5786867
2092,155.2920158
2265,155.005345
2446,154.7186742
2635,154.1453326
2819,153.6114608
2996,153.077589
3106,152.5437173
3420,151.4759737
3475,151.9701219
3648,152.4642702
3757,152.9584184
3856,153.4525666
3927,154.4408631
3962,154.6813315
3932,154.9218
3922,155.1622684
3728,155.4027368
3343,155.6432052
3021,156.1241421
2862,157.7253049
2502,159.3264678
2198,160.9276306
1874,164.1299563
1455,163.8246264
1047,163.5192965
619,163.2139666
324,162.9086367
101,162.2979768
0,161.3945699
0,160.4911629
0,159.5877559
0,158.684349
0,156.877535
0,156.8536933
0,156.8298516
0,156.8060099
0,156.7821682
0,156.7583265
0,156.7106431
0,156.3876267
0,156.0646104
0,155.741594
0,155.0955613
0,154.3544501
0,153.6133389
0,152.8722277
0,152.1311165
0,150.6488941
0,147.5284526
0,144.4080112
0,141.2875697
0,135.0466868
0,134.8924575
0,134.7382282
0,134.5839989
0,134.4297695
0,134.1213109
0,131.9341731
0,129.7470353
0,127.5598974
0,125.3727596
0,120.998484
0,120.2629002
0,119.5273165
0,118.7917328
0,118.0561491
0,116.5849817
0,117.5812355
0,118.5774893
0,119.5737431
0,120.569997
99,122.5625046
416,132.1129688
793,141.6634329
1473,151.2138971
2248,170.3148254
2744,169.0033256
2969,167.6918258
3147,166.380326
3217,165.0688263
3291,162.4458267
3288,161.9646001
3263,161.4833736
3215,161.002147
3182,160.5209204
3136,159.5584673
3081,160.4483149
3072,161.3381626
3001,162.2280102
2940,163.1178579
2790,164.8975531
2477,167.2928535
2362,169.6881538
2242,172.0834542
2097,174.4787545
2004,179.2693552
1943,178.5659316
1852,177.8625079
1830,177.1590842
1775,176.4556606
1730,175.0488132
1744,172.9374151
1693,170.826017
1721,168.7146189
1725,166.6032207
1735,164.4918226
1809,160.2690264
1891,159.8834661
2044,159.4979059
2215,159.1123456
2363,158.3412251
2516,158.4170434
2677,158.4928618
2863,158.5686802
3024,158.6444985
3191,158.7961353
3332,157.7473105
3443,156.6984858
3583,155.649661
3630,154.6008363
3715,152.5031867
3738,153.3092749
3772,154.1153631
3662,154.9214512
3068,155.7275394
2944,157.3397157
2640,157.6245303
2220,157.9093448
1987,158.1941594
1547,158.7637885
1110,158.7702806
732,158.7767727
432,158.7832648
134,158.7897569
0,158.8027411
0,160.0794118
0,161.3560824
0,162.6327531
0,163.9094237
0,166.462765
0,166.2165298
0,165.9702946
0,165.7240594
0,165.4778242
0,164.9853538
0,163.6919813
0,162.3986089
0,161.1052364
0,159.8118639
0,157.225119
0,157.1124669
0,156.9998149
0,156.8871628
0,156.7745107
0,156.5492066
0,152.0125457
0,147.4758848
0,142.9392239
0,138.402563
0,129.3292412
0,126.6985699
0,124.0678985
0,121.4372272
0,116.1758845
0,115.8559696
0,115.5360548
0,115.21614
0,114.8962251
0,114.2563955
0,113.117252
0,111.9781086
0,110.8389652
0,109.6998217
0,107.4215349
0,108.7588507
0,110.0961665
107,111.4334823
421,112.7707981
881,115.4454298
1315,118.3461065
1849,121.2467832
2315,124.1474599
2464,127.0481367
2531,132.8494901
2683,134.0757461
2869,135.3020021
3051,136.5282581
3159,138.9807701
3298,142.4750902
3400,145.9694102
3489,149.4637303
3512,152.9580504
3507,159.9466905
3448,160.2989913
3306,160.6512921
3078,161.0035929
2827,161.3558936
2572,162.0604952
2259,161.6258081
2003,161.191121
1735,160.7564339
1539,160.3217468
1508,159.4523727
1428,158.9278618
1413,158.4033509
1398,157.87884
1384,157.3543291
1400,156.3053073
1422,155.594896
1491,154.8844847
1568,154.1740734
1666,153.4636621
1874,152.0428395
2069,151.6137698
2275,151.1847001
2449,150.7556305
2688,150.3265608
2869,149.4684214
3039,150.8707905
3190,152.2731595
3302,153.6755286
3402,155.0778976
3499,157.8826357
3610,157.3024098
3606,156.722184
3493,156.1419581
3063,155.5617322
3036,154.4012805
2880,153.5743188
2665,152.7473572
2533,151.9203956
2317,150.2664723
1903,151.4347662
1609,152.60306
1253,153.7713539
852,154.9396477
516,157.2762355
184,157.3754494
31,157.4746633
0,157.5738772
0,157.6730912
0,157.7723051
0,157.9707329
0,157.9265916
0,157.8824503
0,157.8383089
0,157.7500263
0,156.8927636
0,156.0355009
0,155.1782383
0,154.3209756
0,152.6064502
0,152.323741
0,152.0410319
0,151.7583227
0,151.4756135
0,151.1929044
0,150.627486
0,150.0453506
0,149.4632151
0,148.8810796
0,148.2989442
0,147.1346732
0,144.1646015
0,141.1945299
0,138.2244582
0,132.2843148
0,131.2294518
0,130.1745888
0,129.1197258
0,127.0099998
0,126.3230515
0,125.6361033
0,124.949155
0,124.2622068
0,122.8883102
0,122.6224798
0,122.3566493
0,122.0908189
0,121.8249885
0,121.559158
41,121.0274971
333,123.7313686
849,126.4352401
1306,129.1391116
1872,131.8429831
2319,137.250726
2595,138.3531869
2797,139.4556477
2887,140.5581086
2936,141.6605694
2979,143.8654911
2990,146.4491158
3031,149.0327406
3017,151.6163653
3058,154.1999901
3010,159.3672395
2977,160.8312834
2925,162.2953272
2820,163.759371
2566,166.6874587
2296,167.0615006
1965,167.4355425
1816,167.8095844
1766,168.1836264
1624,168.9317102
1579,167.8945848
1481,166.8574593
1489,165.8203339
1532,164.7832085
1535,162.7089576
1605,161.8280881
1658,160.9472186
1722,160.0663491
1799,158.30461
1900,156.6304677
2074,154.9563254
2227,153.2821831
2397,151.6080408
2563,148.2597562
2726,150.0402074
2917,151.8206586
3000,153.6011098
3132,155.381561
3309,158.9424634
3401,158.9637053
3470,158.9849471
3518,159.006189
3592,159.0274309
3528,159.0699146
3516,159.3926165
3088,159.7153184
3089,160.0380204
2924,160.3607223
2898,161.0061261
2482,160.6612181
2276,160.31631
2043,159.971402
1886,159.6264939
1541,158.9366778
1215,158.9123318
800,158.8879859
471,158.8636399
235,158.8392939
48,158.790602
0,158.6155739
0,158.4405458
0,158.2655177
0,158.0904896
0,157.7404334
0,157.9737257
0,158.2070181
0,158.4403104
0,158.9068951
0,157.9025546
0,156.8982142
0,155.8938737
0,154.8895332
0,152.8808523
0,152.631391
0,152.3819298
0,152.1324685
0,151.8830072
0,151.3840847
0,148.8385178
0,146.292951
0,143.7473841
0,141.2018173
0,136.1106835
0,134.4602157
0,132.8097479
0,131.1592801
0,129.5088122
0,126.2078766
0,125.2463951
0,124.2849136
0,123.3234321
0,122.3619506
0,120.4389876
0,119.086805
0,117.7346225
0,116.38244
0,115.0302575
0,112.3258925
0,113.7831944
0,115.2404962
0,116.6977981
45,118.1551
316,119.6124018
874,122.5270056
1363,125.2286712
2097,127.9303368
2693,130.6320024
2967,136.0353337
3085,137.7295817
3194,139.4238296
3255,141.1180776
3286,144.5065736
3347,145.7004587
3351,146.8943438
3328,148.0882289
3301,149.282114
3208,150.4759992
3140,152.8637694
3002,154.9270022
2816,156.9902351
2570,159.053468
2143,163.1799337
1966,163.0887098
1796,162.9974858
1700,162.9062619
1620,162.815038
1532,162.6325901
1535,162.3947259
1470,162.1568616
1518,161.9189974
1486,161.6811332
1555,161.2054048
1594,159.6591761
1633,158.1129475
1675,156.5667189
1785,155.0204902
1907,151.928033
2049,153.759088
2240,155.5901429
2382,157.4211979
2546,159.2522529
2707,162.9143628
2864,162.6666678
3038,162.4189729
3195,162.1712779
3270,161.923583
3348,161.428193
3458,160.6734901
3590,159.9187872
3537,159.1640843
3545,158.4093814
3526,156.8999756
3477,157.5981102
2967,158.2962449
2809,158.9943796
2668,159.6925143
2426,161.0887836
2154,161.0530335
1832,161.0172834
1483,160.9815333
1100,160.9457832
672,160.8742831
359,160.6621831
81,160.4500832
10,160.2379833
0,160.0258834
0,159.6016836
0,159.060084
0,158.5184843
0,157.9768847
0,157.435285
0,156.3520857
0,156.3084129
0,156.2647401
0,156.2210673
0,156.1773945
0,156.1337217
