rawsum,joint_angle,
1498,141.8880742,38.1119258
1551,147.5704401,32.4295599
1568,153.252806,26.747194
1580,158.935172,21.064828
1571,170.2999038,9.7000962
1546,171.1262768,8.8737232
1523,171.9526498,8.0473502
1478,172.7790228,7.2209772
1421,173.6053958,6.3946042
1331,175.2581418,4.7418582
1222,174.6059796,5.3940204
1119,173.9538175,6.0461825
998,173.3016554,6.6983446
884,171.9973311,8.0026689
773,171.9775253,8.0224747
650,171.9577196,8.0422804
577,171.9379138,8.0620862
488,171.8983023,8.1016977
422,170.2629424,9.7370576
358,168.6275825,11.3724175
322,166.9922226,13.0077774
285,165.3568628,14.6431372
269,162.086143,17.913857
230,161.867043,18.132957
286,161.647943,18.352057
345,161.428843,18.571157
368,161.2097429,18.7902571
447,160.7715429,19.2284571
547,161.2218099,18.7781901
635,161.6720769,18.3279231
763,162.1223439,17.8776561
869,162.572611,17.427389
987,163.473145,16.526855
1105,162.299197,17.700803
1240,161.125249,18.874751
1353,159.951301,20.048699
1399,158.777353,21.222647
1447,156.4294569,23.5705431
1497,158.4087133,21.5912867
1462,160.3879697,19.6120303
1451,162.3672261,17.6327739
1408,164.3464825,15.6535175
1326,168.3049953,11.6950047
1244,167.8084005,12.1915995
1174,167.3118056,12.6881944
1038,166.8152108,13.1847892
796,166.3186159,13.6813841
543,165.3254263,14.6745737
318,166.0130684,13.9869316
152,166.7007104,13.2992896
73,167.3883525,12.6116475
0,168.7636367,11.2363633
0,168.429847,11.570153
0,168.0960572,11.9039428
0,167.7622675,12.2377325
0,167.4284777,12.5715223
0,166.7608982,13.2391018
0,166.7721886,13.2278114
0,166.783479,13.216521
0,166.7947695,13.2052305
0,166.8173503,13.1826497
0,165.8912127,14.1087873
0,164.965075,15.034925
0,164.0389374,15.9610626
0,163.1127997,16.8872003
0,161.2605245,18.7394755
0,161.0587799,18.9412201
0,160.8570353,19.1429647
0,160.6552907,19.3447093
0,160.4535461,19.5464539
0,160.050057,19.949943
0,159.3620698,20.6379302
0,158.6740826,21.3259174
0,157.9860955,22.0139045
0,156.6101211,23.3898789
0,153.1008158,26.8991842
0,149.5915104,30.4084896
0,146.0822051,33.9177949
0,142.5728998,37.4271002
0,135.5542891,44.4457109
0,133.6532667,46.3467333
0,131.7522443,48.2477557
0,129.8512219,50.1487781
0,127.9501996,52.0498004
0,124.1481548,55.8518452
0,123.306887,56.693113
0,122.4656192,57.5343808
0,121.6243514,58.3756486
0,119.9418158,60.0581842
0,118.625817,61.374183
0,117.3098182,62.6901818
0,115.9938194,64.0061806
0,114.6778206,65.3221794
0,112.0458231,67.9541769
0,113.1464084,66.8535916
0,114.2469938,65.7530062
0,115.3475791,64.6524209
0,116.4481645,63.5518355
68,118.6493352,61.3506648
149,121.1608395,58.8391605
241,123.6723438,56.3276562
347,126.183848,53.816152
492,131.2068566,48.7931434
646,132.5111638,47.4888362
780,133.815471,46.184529
943,135.1197782,44.8802218
1083,137.7283926,42.2716074
1224,143.1614126,36.8385874
1351,148.5944325,31.4055675
1453,154.0274525,25.9725475
1513,159.4604724,20.5395276
1585,170.3265123,9.6734877
1613,169.9932075,10.0067925
1625,169.6599028,10.3400972
1587,169.326598,10.673402
1483,168.9932933,11.0067067
1386,168.3266837,11.6733163
