rawsum,joint_angle
1867,175.123108
1748,174.9920999
1559,174.8610918
1338,174.5990756
1131,174.7983705
807,174.9976654
404,175.1969603
149,175.5955501
64,175.5875847
51,175.5796193
39,175.5716538
11,175.5636884
13,175.5477576
0,175.4372298
0,175.326702
0,175.2161741
0,175.1056463
0,174.8845907
0,173.154733
0,171.4248752
0,169.6950175
0,167.9651598
0,164.5054443
0,164.4248794
0,164.3443144
0,164.2637495
0,164.1831845
0,164.0220546
0,161.0531032
0,158.0841518
0,155.1152004
0,152.1462489
0,146.2083461
0,144.4501664
0,142.6919867
0,140.933807
0,139.1756273
0,135.6592679
0,133.767876
0,131.8764841
0,129.9850922
0,128.0937003
0,124.3109165
0,122.2893452
0,120.2677738
0,118.2462025
0,116.2246311
0,112.1814884
0,112.3592631
0,112.5370378
0,112.7148125
0,112.8925872
0,113.2481367
0,114.4426713
0,115.6372059
0,116.8317405
0,119.2208097
44,120.876872
197,122.5329344
317,124.1889968
469,125.8450592
638,129.157184
752,131.1783129
872,133.1994419
1037,135.2205708
1216,139.2628287
1375,141.0181303
1482,142.7734319
1562,144.5287335
1638,146.2840351
1700,149.7946383
1733,152.4471068
1769,155.0995754
1781,157.752044
1782,160.4045126
1771,165.7094498
1711,166.2961085
1700,166.8827673
1588,167.469426
1442,168.0560848
1264,169.2294023
1083,169.2283646
903,169.2273269
810,169.2262892
700,169.2252515
591,169.2231761
479,169.0376481
463,168.85212
461,168.666592
503,168.4810639
612,168.1100079
705,168.122986
810,168.1359642
894,168.1489423
955,168.1748986
1064,168.7911758
1139,169.4074531
1240,170.0237303
1362,171.2562848
1438,171.7380603
1558,172.2198357
1629,172.7016112
1704,173.1833867
1776,174.1469376
2060,174.2960507
1934,174.4451638
2064,174.594277
2115,174.7433901
2194,175.0416164
2317,175.0575714
2344,175.0735264
2295,175.0894814
2278,175.1054364
2297,175.1373464
2261,174.6295507
2179,174.1217549
2115,173.6139592
1986,173.1061635
1837,172.0905721
1632,172.2308866
1421,172.3712011
1072,172.5115157
626,172.6518302
251,172.7921447
51,173.0727738
40,173.4196583
31,173.7665427
14,174.1134272
14,174.8071962
0,174.3514428
0,173.8956893
0,173.4399359
0,172.5284291
0,172.4403617
0,172.3522944
0,172.2642271
0,172.1761597
0,172.0000251
0,170.4066911
0,168.8133572
0,167.2200232
0,165.6266893
0,162.4400214
0,161.5026581
0,160.5652947
0,159.6279314
0,158.690568
0,156.8158414
0,152.8281311
0,148.8404208
0,144.8527105
0,136.87729
0,135.6537987
0,134.4303074
0,133.2068161
0,131.9833248
0,129.5363422
0,127.1950487
0,124.8537552
0,122.5124617
0,120.1711682
0,115.4885812
0,114.6975869
0,113.9065926
0,113.1155983
0,112.324604
0,110.7426154
0,113.3478722
0,115.953129
0,118.5583858
0,121.1636426
0,126.3741561
0,126.4535084
0,126.5328607
55,126.612213
192,126.6915653
321,126.8502698
465,128.3512359
582,129.852202
711,131.3531681
903,132.8541342
1097,135.8560664
1320,137.0051425
1458,138.1542187
1564,139.3032949
1638,140.452371
1720,142.7505233
1774,148.1920628
1813,153.6336023
1838,159.0751418
1844,169.9582208
1904,170.0214943
1898,170.0847677
1835,170.1480412
1704,170.2113146
1549,170.3378616
1400,170.2111637
1258,170.0844659
1101,169.9577681
968,169.8310702
827,169.5776746
720,163.9099667
581,158.2422588
509,152.5745509
494,141.2391351
519,144.8079703
537,148.3768055
636,151.9456407
756,155.5144759
810,162.6521463
889,163.3033628
955,163.9545792
1061,164.6057957
1199,165.2570122
1298,166.5594451
1383,167.1328941
1464,167.7063431
1575,168.2797921
1664,169.4266901
1746,170.5269581
1838,171.627226
1966,172.727494
2074,174.9280299
2126,174.9571391
2217,174.9862484
2282,175.0153576
2320,175.0444669
2377,175.1026854
2395,175.060344
2360,175.0180027
2278,174.9756613
2411,174.8909786
2090,174.6387782
1907,174.3865777
1723,174.1343773
1488,173.8821768
1260,173.3777759
1037,173.4849541
716,173.5921323
344,173.6993105
115,173.8064887
29,174.0208451
17,174.0820012
0,174.1431573
0,174.2043133
11,174.2654694
0,174.3266254
0,174.4489375
0,173.5362661
0,172.6235947
0,171.7109233
0,170.7982519
0,168.9729091
0,168.6444166
0,168.315924
0,167.9874314
0,167.3304463
0,165.3234111
0,163.3163758
0,161.3093406
0,159.3023053
0,155.2882348
0,152.732376
0,150.1765172
0,147.6206584
0,142.5089409
0,140.8536876
0,139.1984343
0,137.5431811
0,135.8879278
0,134.2326745
0,130.922168
0,128.2526428
0,125.5831176
0,122.9135924
0,120.2440672
0,114.9050168
0,114.1713826
0,113.4377483
0,112.7041141
0,111.9704798
0,110.5032113
0,111.7419872
0,112.9807631
0,114.219539
0,115.4583149
0,117.9358666
0,118.5068641
0,119.0778616
0,119.648859
0,120.790854
130,122.3058344
250,123.8208149
409,125.3357954
587,126.8507759
711,129.8807369
832,131.9086915
1009,133.9366461
1256,135.9646008
1429,137.9925554
1569,142.0484647
1674,145.2742363
1762,148.500008
1848,151.7257796
1918,154.9515512
1987,158.1773229
2019,164.6288662
2077,165.5314458
2101,166.4340254
2110,167.336605
2062,169.1417641
1977,169.0929038
1859,169.0440435
1658,168.9951832
1485,168.9463228
1323,168.8486022
1179,169.1319379
1044,169.4152735
917,169.6986092
805,169.9819449
722,170.5486163
651,170.6483927
636,170.7481691
627,170.8479455
683,171.0474983
771,171.0640544
846,171.0806106
937,171.0971668
1071,171.1137229
1179,171.1302791
1275,171.1633914
1383,172.4122343
1453,173.6610772
1552,174.9099201
1652,177.4076059
1761,177.0285356
1873,176.6494653
2002,176.2703951
2110,175.8913248
2214,175.1331842
2357,174.6709058
2427,174.2086274
2454,173.746349
2543,173.2840706
2593,172.3595138
2587,172.3625798
2502,172.3656459
2474,172.368712
2395,172.3717781
2232,172.3779102
2108,172.0767403
1861,171.7755704
1551,171.4744005
1254,171.1732306
938,170.5708908
567,170.9351054
215,171.29932
27,171.6635346
13,172.0277493
10,172.7561785
0,172.2812686
0,171.8063586
0,171.3314487
0,170.8565388
0,169.906719
0,169.9870889
0,170.0674587
0,170.1478286
0,170.2281985
0,170.3889382
0,169.7507836
0,169.1126291
0,168.4744745
0,167.8363199
0,166.5600108
0,165.8566389
0,165.153267
0,164.4498952
0,163.7465233
0,162.3397795
0,159.8068131
0,157.2738466
0,154.7408801
0,152.2079136
0,147.1419807
0,143.8234658
0,140.5049508
0,137.1864359
0,133.867921
0,127.2308912
0,125.5215559
0,123.8122205
0,122.1028852
0,118.6842146
0,117.595612
0,116.5070094
0,115.4184068
0,114.3298042
0,113.2412016
0,111.0639964
0,111.9492698
0,112.8345432
0,113.7198166
0,114.60509
0,116.3756368
0,119.0125388
0,121.6494408
102,124.2863428
277,129.5601469
438,129.9896002
608,130.4190535
742,130.8485068
861,131.2779601
1012,132.1368666
1287,135.6751473
1557,139.2134279
1707,142.7517086
1806,146.2899892
1887,153.3665505
1919,154.6575805
1907,155.9486106
1900,157.2396406
1846,158.5306706
1821,161.1127306
1741,162.0276628
1681,162.942595
1589,163.8575271
1469,164.7724593
1355,166.6023236
1197,166.517867
1065,166.4334104
935,166.3489539
842,166.2644973
744,166.0955841
666,165.8415863
650,165.5875885
640,165.3335907
683,165.0795929
782,164.5715973
862,164.9888697
963,165.406142
1076,165.8234144
1155,166.2406867
1275,167.0752314
1363,166.8740773
1478,166.6729232
1572,166.471769
1669,166.2706149
1741,165.8683067
1826,167.7732172
1908,169.6781278
2029,171.5830383
2141,175.3928594
2218,174.7763816
2335,174.1599038
2400,173.5434261
2502,172.9269483
2588,171.6939927
2695,171.5384068
2805,171.382821
2857,171.2272352
2848,171.0716493
2709,170.7604777
2642,171.5061993
2680,172.251921
2693,172.9976427
2568,173.7433644
2448,175.2348077
2244,174.7467007
1872,174.2585937
1497,173.7704867
1098,173.2823797
613,172.3061658
221,172.0148089
31,171.723452
25,171.4320951
15,171.1407383
0,170.5580245
0,170.7158624
0,170.8737003
0,171.0315381
0,171.189376
0,171.5050518
0,171.0995501
0,170.6940484
0,170.2885467
0,169.883045
0,169.0720416
0,167.8867066
0,166.7013715
0,165.5160364
0,163.1453663
0,162.2597778
0,161.3741893
0,160.4886008
0,159.6030123
0,158.7174238
0,156.9462468
0,152.8704286
0,148.7946105
0,144.7187924
0,140.6429742
0,132.4913379
0,131.0652916
0,129.6392452
0,128.2131988
0,126.7871525
0,123.9350597
0,121.2160776
0,118.4970955
0,115.7781135
0,110.3401493
0,109.5267966
0,108.713444
0,107.9000913
0,107.0867387
0,105.4600334
0,107.4879468
0,109.5158602
0,111.5437735
0,113.5716869
0,117.6275137
0,119.9207189
64,122.2139242
200,124.5071294
327,129.0935399
470,129.4936122
600,129.8936844
698,130.2937566
815,130.6938289
977,131.4939733
1208,134.6334928
1343,137.7730123
1410,140.9125317
1479,144.0520512
1527,150.3310901
1552,151.7573654
1570,153.1836407
1554,154.609916
1558,156.0361913
1529,158.888742
1486,160.696605
1430,162.504468
1346,164.312331
1238,166.120194
1120,169.73592
982,170.3187873
846,170.9016546
675,171.4845218
579,172.0673891
470,173.2331237
388,171.7057011
287,170.1782786
299,168.6508561
324,165.5960111
305,166.2893752
399,166.9827393
505,167.6761034
590,168.3694676
685,169.7561958
780,169.3668312
890,168.9774666
983,168.588102
1106,168.1987374
1181,167.4200081
1299,167.5205977
1375,167.6211873
1430,167.7217768
1532,167.8223664
1611,167.9229559
1665,168.1241351
1766,168.9519153
1825,169.7796955
1981,170.6074758
1855,171.435256
1899,173.0908165
1915,172.4535383
1950,171.8162602
1964,171.1789821
1896,169.9044258
1864,170.4057606
1756,170.9070954
1657,171.4084303
1581,171.9097651
1461,172.4110999
1356,173.4137696
1175,173.1805783
946,172.9473871
587,172.7141958
255,172.2478133
43,172.2383708
19,172.2289283
14,172.2194859
0,172.2100434
0,172.1911584
0,171.9101037
0,171.629049
0,171.3479943
0,171.0669396
0,170.5048302
0,170.3922768
0,170.2797233
0,170.1671699
0,170.0546165
0,169.8295096
0,168.0927894
0,166.3560693
0,164.6193492
0,162.8826291
0,159.4091889
0,158.9161202
0,158.4230516
0,157.929983
0,157.4369143
0,156.4507771
0,153.1256491
0,149.800521
0,146.475393
0,139.8251369
0,139.530988
0,139.236839
0,138.9426901
0,138.3543922
0,134.115138
0,129.8758838
0,125.6366295
0,117.1581211
0,116.2438981
0,115.3296751
0,114.4154521
0,113.5012291
0,111.6727831
0,112.2138143
0,112.7548455
0,113.2958767
0,113.8369079
0,114.9189704
0,115.3644578
0,115.8099453
0,116.2554328
152,116.7009202
289,117.5918952
424,119.7411499
645,121.8904046
856,124.0396593
940,128.3381687
1161,129.4968025
1299,130.6554362
1425,131.8140699
1491,132.9727037
1616,135.2899711
1689,139.5673799
1741,143.8447887
1762,148.1221974
1743,152.3996062
1703,160.9544237
1627,162.6909269
1544,164.4274301
1484,166.1639333
1380,167.9004365
1305,171.3734429
1168,171.0354892
1048,170.6975355
943,170.3595818
805,170.0216282
701,169.3457208
616,168.9947559
574,168.6437909
553,168.292826
648,167.941861
669,167.5908961
733,166.8889662
