rawsum,joint_angle
0,122.7733544
0,120.8375656
0,118.9017769
0,116.9659882
0,115.0301994
0,111.1586219
0,110.0458312
0,108.9330405
0,107.8202498
0,106.7074591
0,104.4818777
0,105.3871819
0,106.292486
0,107.1977902
0,108.1030943
0,109.9137026
0,111.2424786
131,112.5712546
258,113.9000306
432,116.5575827
667,119.7216496
909,122.8857165
1125,126.0497835
1308,129.2138504
1487,135.5419842
1613,137.0542774
1673,138.5665706
1740,140.0788638
1789,141.591157
1823,144.6157434
1904,146.3210407
2013,148.0263379
2174,149.7316352
2270,151.4369325
2340,154.847527
2499,157.0436576
2597,159.2397882
2675,161.4359188
2713,163.6320494
2752,168.0243106
2806,167.5970511
2736,167.1697915
2787,166.7425319
2772,165.8880128
2783,165.802215
2776,165.7164172
2716,165.6306194
2659,165.5448216
2568,165.373226
2520,164.3026381
2439,163.2320502
2396,162.1614623
2332,161.0908745
2258,158.9496987
2075,159.2696422
2086,159.5895856
1965,159.9095291
1929,160.549416
1935,160.9243155
1922,161.2992149
1919,161.6741144
1930,162.0490139
1961,162.7988128
2016,162.4738502
2233,162.1488877
2362,161.8239251
2486,161.174
2596,160.8194336
2626,160.4648672
2741,160.1103008
2841,159.7557344
2977,159.0466016
3119,159.0438015
3089,159.0410014
3129,159.0382014
3113,159.0354013
3114,159.0298012
3031,159.3236813
2759,159.6175615
2717,159.9114416
2440,160.2053218
2006,160.7930821
1685,161.136472
1240,161.4798618
821,161.8232517
383,162.1666415
153,162.8534212
61,162.3718289
0,161.8902367
0,161.4086444
0,160.9270522
0,159.9638677
0,159.9148499
0,159.8658322
0,159.8168145
0,159.7677967
0,159.718779
0,159.6207435
0,158.3019476
0,156.9831517
0,155.6643558
0,153.026764
0,152.9649856
0,152.9032072
0,152.8414288
0,152.7796504
0,152.6560935
0,148.8689229
0,145.0817523
0,141.2945817
0,137.507411
0,129.9330698
0,128.66112
0,127.3891701
0,126.1172203
0,124.8452705
0,123.5733207
0,121.029421
0,118.3979533
0,115.7664856
0,113.1350179
0,107.8720824
0,107.8685934
0,107.8651045
0,107.8616155
0,107.8546376
0,109.4041877
0,110.9537377
0,112.5032878
58,114.0528379
269,115.602388
516,118.7014881
787,119.1868644
1036,119.6722406
1325,120.1576169
1529,120.6429932
1577,121.6137457
1612,122.6982784
1605,123.7828111
1600,124.8673437
1695,125.9518764
1805,128.1209418
2023,132.2107934
2210,136.300645
2346,140.3904966
2537,144.4803482
2654,152.6600514
2786,153.8889079
2807,155.1177643
2827,156.3466208
2875,157.5754772
2855,160.0331901
2829,160.4957168
2822,160.9582434
2779,161.4207701
2800,161.8832967
2771,162.8083501
2856,162.9133073
2689,163.0182646
2593,163.1232218
2508,163.2281791
2516,163.4380936
2408,162.8203871
2307,162.2026807
2236,161.5849742
2204,160.9672677
2160,159.7318548
2000,159.5427406
1954,159.3536263
1961,159.1645121
1973,158.7862836
1983,159.4845301
2018,160.1827766
2023,160.8810231
1957,161.5792696
1983,162.9757626
2063,162.4756983
2144,161.975634
2343,161.4755698
2469,160.9755055
2745,159.9753769
2719,159.5302219
2837,159.0850669
2971,158.6399119
3058,158.194757
3115,157.304447
3223,159.0798342
3155,160.8552214
3168,162.6306086
3134,166.181383
2982,165.4457345
2728,164.710086
2517,163.9744375
2291,163.238789
1980,161.767492
1593,162.0951811
1184,162.4228701
753,162.7505591
368,163.0782481
188,163.7336262
64,163.7075303
16,163.6814345
0,163.6553386
0,163.6292427
0,163.577051
0,163.0610307
0,162.5450105
0,162.0289902
0,161.5129699
0,160.4809294
0,160.1093248
0,159.7377202
0,159.3661156
0,158.9945111
0,158.6229065
0,157.8796973
0,156.8760292
0,155.872361
0,154.8686928
0,152.8613564
0,150.4001505
0,147.9389445
0,145.4777385
0,143.0165325
0,138.0941205
0,133.44482
0,128.7955196
0,124.1462191
0,114.8476182
0,113.9327396
0,113.0178611
0,112.1029825
0,111.188104
0,109.3583469
0,109.1788613
0,108.9993758
0,108.8198903
0,108.4609193
0,109.9804355
0,111.4999517
0,113.0194679
0,114.5389841
0,117.5780166
170,117.41443
292,117.2508435
497,117.087257
722,116.9236705
1005,116.5964974
1253,118.5621188
1383,120.5277402
1571,122.4933616
1661,124.4589829
1744,128.3902257
1829,131.0744147
1912,133.7586037
1944,136.4427927
2075,139.1269818
2130,144.4953598
2239,147.7011277
2339,150.9068957
2446,154.1126637
2562,157.3184316
2631,163.7299676
2701,163.8645744
2718,163.9991812
2717,164.133788
2733,164.2683948
2753,164.5376084
2752,164.3258085
2843,164.1140086
2881,163.9022086
2894,163.4786087
2852,163.3275443
2902,163.1764799
2896,163.0254154
2861,162.874351
2737,162.7232865
2660,162.4211576
2556,162.0704183
2455,161.7196789
2317,161.3689395
2209,161.0182002
2112,160.3167214
2045,160.81535
2010,161.3139786
1953,161.8126071
1984,162.3112357
2085,163.3084928
2128,163.2471694
2124,163.1858459
2187,163.1245224
2261,163.063199
2220,162.940552
2278,162.3387717
2447,161.7369913
2624,161.1352109
2771,159.9316502
2833,160.5113439
2974,161.0910376
3084,161.6707313
3190,162.250425
3235,163.4098123
3161,162.2976946
3170,161.1855768
3113,160.073459
3002,157.8492234
2766,157.9987103
2489,158.1481971
2248,158.2976839
2000,158.4471708
1601,158.7461444
1230,159.1303006
837,159.5144567
451,159.8986128
196,160.2827689
62,161.0510812
14,161.6063237
0,162.1615663
0,162.7168089
0,163.2720514
0,164.3825366
0,163.6546678
0,162.9267991
0,162.1989304
0,161.4710616
0,160.0153241
0,159.8425985
0,159.669873
0,159.4971474
0,159.1516963
0,157.1583847
0,155.1650731
0,153.1717615
0,151.1784499
0,147.1918267
0,146.3456625
0,145.4994984
0,144.6533343
0,143.8071701
0,142.1148418
0,142.035276
0,141.9557101
0,141.8761442
0,141.7965784
0,141.6374466
0,138.2416341
0,134.8458216
0,131.4500091
0,128.0541966
0,121.2625716
0,118.76676
0,116.2709484
0,113.7751368
0,111.2793252
0,106.287702
0,107.1415312
0,107.9953605
17,108.8491897
197,109.703019
374,111.4106775
606,114.3614609
885,117.3122443
1183,120.2630278
1383,123.2138112
1597,129.1153781
1759,130.363931
1871,131.6124839
1928,132.8610369
2063,134.1095898
2184,136.6066956
2298,140.8947626
2432,145.1828295
2562,149.4708964
2627,153.7589633
2756,162.3350972
2883,162.6883313
2907,163.0415653
2921,163.3947994
2881,163.7480335
2868,164.1012675
2766,164.8077356
2861,164.7485963
2742,164.689457
2692,164.6303177
2623,164.5120391
2567,164.0707491
2464,163.6294592
2374,163.1881692
2162,162.7468792
2206,161.8642992
2135,161.6339721
2079,161.4036449
2056,161.1733177
1997,160.9429906
1963,160.4823362
1958,160.677443
1962,160.8725498
1886,161.0676566
1892,161.2627633
1960,161.6529769
1929,161.1810018
1985,160.7090267
2088,160.2370516
2182,159.7650766
2264,158.8211264
2350,159.3193732
2406,159.8176199
2551,160.3158667
2682,161.3123603
2808,160.6185497
2868,159.9247392
2888,159.2309287
3000,157.8433077
3042,158.1493838
3187,158.4554599
3153,158.7615361
3121,159.0676122
3100,159.6797645
2904,159.6791558
2727,159.6785472
2434,159.6779386
2207,159.6773299
1907,159.6761126
1509,159.9679133
1092,160.2597139
641,160.5515146
256,160.8433152
127,161.4269165
43,161.4060509
0,161.3851853
0,161.3643196
0,161.343454
0,161.3017228
0,161.3312702
0,161.3608176
0,161.390365
0,161.4199124
0,161.4790072
0,160.2643158
0,159.0496244
0,157.8349329
0,156.6202415
0,154.1908587
0,153.9303814
0,153.6699041
0,153.4094269
0,153.1489496
0,152.6279951
0,148.2614982
0,143.8950013
0,139.5285044
0,135.1620075
0,126.4290137
0,124.7417544
0,123.0544951
0,121.3672358
0,117.9927173
0,115.7501945
0,113.5076718
0,111.265149
0,109.0226263
0,106.7801036
0,102.2950581
0,102.4953149
0,102.6955716
0,102.8958284
0,103.0960852
0,103.4965987
0,105.6821889
0,107.8677791
107,110.0533692
224,114.4245496
424,115.1730627
624,115.9215758
907,116.670089
1126,117.4186021
1285,118.9156284
1459,122.2859192
1598,125.65621
1654,129.0265008
1695,132.3967916
1740,139.1373732
1808,140.3693485
1896,141.6013238
2038,142.8332991
2177,144.0652744
2285,145.2972497
2452,147.7612004
2568,150.5904605
2749,153.4197207
2815,156.2489809
2792,159.078241
2787,164.7367614
2759,164.9928292
2767,165.248897
2743,165.5049648
2721,165.7610326
2702,166.2731682
2603,165.7199121
2521,165.1666561
2407,164.6134
2421,164.0601439
2384,162.9536318
2282,162.6935513
2234,162.4334707
2136,162.1733902
2038,161.6532291
2027,161.9937725
1913,162.3343159
1988,162.6748594
1817,163.0154028
1823,163.6964896
1831,163.4891156
1849,163.2817415
1948,163.0743674
1967,162.8669933
2032,162.4522451
2157,161.2684238
2305,160.0846024
2454,158.900781
2559,156.5331383
2639,157.2147964
2789,157.8964546
2799,158.5781128
2868,159.259771
2962,160.6230873
2975,160.2868891
2980,159.9506909
2952,159.6144926
2889,159.2782944
2703,158.9420961
2535,158.2696996
2428,158.6933331
2179,159.1169665
1928,159.5405999
1597,160.3878667
1216,160.0415559
757,159.695245
457,159.3489342
163,158.6563125
32,159.2322633
0,159.8082141
0,160.3841648
0,160.9601156
0,162.1120171
0,161.7846384
0,161.4572597
0,161.1298809
0,160.8025022
0,160.1477447
0,158.9345479
0,157.7213511
0,156.5081543
0,155.2949575
0,152.8685639
0,152.1570922
0,151.4456206
0,150.7341489
0,150.0226773
0,148.599734
0,145.5262771
0,142.4528202
0,139.3793633
0,136.3059063
0,130.1589925
0,128.6813103
0,127.2036281
0,125.7259459
0,124.2482637
0,121.2928993
0,120.1398779
0,118.9868566
0,117.8338353
0,116.680814
0,114.3747713
0,112.9627548
0,111.5507382
0,110.1387216
0,108.726705
0,105.9026719
0,106.0843181
0,106.2659643
0,106.4476105
29,106.6292566
180,106.992549
314,110.1862956
514,113.3800423
696,116.5737889
981,119.7675355
1177,126.1550287
1319,126.5479795
1490,126.9409303
1542,127.333881
1589,127.7268318
1653,128.5127334
1736,132.7649986
1941,137.0172637
2019,141.2695289
2202,145.521794
2339,154.0263243
2474,154.117271
2625,154.2082177
2762,154.2991644
2847,154.3901111
2863,154.5720046
2886,154.6419005
2867,154.7117963
2882,154.7816922
2848,154.921484
2835,155.7177138
2896,156.5139435
2857,157.3101732
2832,158.1064029
2797,158.9026326
2782,160.495092
2766,159.9233898
2727,159.3516876
2685,158.7799854
2581,158.2082832
2502,157.0648788
2433,157.5283067
2313,157.9917345
2221,158.4551623
2160,159.382018
2131,159.9692325
2071,160.556447
2042,161.1436615
2033,161.730876
2057,162.905305
2095,162.9185384
2080,162.9317718
2047,162.9450051
2112,162.9582385
2204,162.9847052
2305,163.1217424
2441,163.2587797
2584,163.3958169
2728,163.5328541
2793,163.8069285
2881,163.8847423
2835,163.9625561
2853,164.0403699
2826,164.1181837
2699,164.2738113
2500,163.8954459
2293,163.5170805
2063,163.1387152
1768,162.7603498
1343,162.003619
977,161.3708879
542,160.7381568
256,160.1054256
91,159.4726945
0,158.2072322
0,158.5394198
0,158.8716073
0,159.2037948
0,159.5359823
0,160.2003574
0,160.6247352
0,161.049113
0,161.4734908
0,161.8978685
0,162.7466241
0,160.7559419
0,158.7652596
0,156.7745773
0,152.7932128
0,151.6738974
0,150.554582
0,149.4352666
0,148.3159512
0,146.0773204
0,142.4384347
0,138.799549
0,135.1606632
0,131.5217775
0,124.244006
0,122.2280187
0,120.2120314
0,118.1960441
0,116.1800567
0,112.1480821
0,110.7176185
0,109.2871549
0,107.8566913
0,106.4262277
0,103.5653004
0,103.8635376
0,104.1617747
0,104.4600119
0,104.758249
0,105.0564862
0,105.6529605
0,106.9932699
0,108.3335793
0,109.6738887
0,112.3545076
94,114.4315999
221,116.5086922
307,118.5857845
460,120.6628768
715,124.8170613
941,125.8238591
1117,126.8306568
1278,127.8374546
1460,128.8442523
1542,130.8578478
1557,134.2689522
1627,137.6800565
1635,141.0911609
1756,144.5022652
1941,151.3244739
2104,152.9114761
2362,154.4984783
2532,156.0854806
2695,157.6724828
2789,160.8464873
2907,160.949148
2908,161.0518087
2880,161.1544694
2834,161.2571301
2813,161.4624516
2791,161.5435418
2766,161.624632
2784,161.7057222
2731,161.7868124
2616,161.9489929
2499,161.4404352
2363,160.9318775
2269,160.4233198
2185,159.9147621
2111,158.8976466
2052,158.7817444
1958,158.6658422
1869,158.54994
1832,158.4340378
1795,158.2022334
1744,159.0362272
1737,159.8702211
1796,160.7042149
1834,161.5382088
1843,163.2061965
1893,162.808126
1962,162.4100555
1998,162.011985
2099,161.6139145
2135,160.8177735
2270,159.8709178
2421,158.924062
2575,157.9772063
2722,157.0303505
2817,155.136639
2931,157.174795
3007,159.2129511
2856,161.2511071
2949,165.3274191
2903,163.7052208
2798,162.0830225
2739,160.4608242
2542,158.8386259
2327,155.5942293
2031,156.4142253
1722,157.2342212
1334,158.0542172
890,158.8742131
519,160.514205
271,160.0287053
91,159.5432056
13,159.0577059
0,158.0867064
0,157.8311551
0,157.5756039
0,157.3200526
0,157.0645013
0,156.5533988
0,156.3458932
0,156.1383877
0,155.9308821
0,155.7233766
0,155.3083655
0,154.3718451
0,153.4353248
0,152.4988045
0,151.5622842
0,149.6892435
0,149.6735067
0,149.6577698
0,149.6420329
0,149.6262961
0,149.5948223
0,145.3631777
0,141.1315331
0,136.8998886
0,128.4365994
0,128.2601424
0,128.0836854
0,127.9072285
0,127.7307715
0,127.5543145
0,127.2014005
0,124.1792092
0,121.1570179
0,118.1348266
0,115.1126353
0,109.0682526
0,108.7627397
0,108.4572267
0,108.1517138
0,107.8462008
0,107.2351749
0,109.7372443
0,112.2393138
0,114.7413832
103,119.7455221
243,120.445989
404,121.146456
598,121.846923
859,122.5473899
1069,123.9483239
1265,127.1590168
1461,130.3697097
1651,133.5804026
1762,136.7910955
1855,140.0017884
1992,146.4231742
2010,148.8269065
2082,151.2306388
2178,153.6343711
2304,158.4418357
2434,159.7879973
2588,161.134159
2739,162.4803206
2834,163.8264823
2882,166.5188056
3149,166.1920005
2826,165.8651955
2884,165.5383904
2868,164.8847802
2810,164.7720168
2793,164.6592533
2788,164.5464898
2726,164.4337263
2665,164.2081993
2559,163.8009212
2485,163.393643
2346,162.9863648
2261,162.5790867
2112,161.7645303
2037,161.5004639
1942,161.2363975
1876,160.972331
1801,160.7082646
1724,160.1801318
1703,159.5019019
1711,158.8236719
1734,158.145442
1706,157.4672121
1775,156.1107522
1853,157.9514174
1973,159.7920826
2120,161.6327478
2280,163.473413
2429,167.1547434
2578,166.5946523
2712,166.0345611
2852,165.47447
2927,164.9143789
3115,163.7941966
3180,163.5896148
3160,163.385033
3047,163.1804512
3187,162.9758694
3017,162.5667057
2852,161.8511658
2834,161.1356258
2577,160.4200859
2319,159.7045459
1952,158.273466
1514,157.6574414
1032,157.0414168
577,156.4253921
276,155.8093675
83,154.5773183
0,155.1072077
0,155.6370972
0,156.1669866
0,156.696876
0,157.2267654
0,158.2865443
0,158.1496838
0,158.0128233
0,157.8759627
0,157.7391022
0,157.4653812
0,156.2061022
0,154.9468233
0,153.6875443
0,151.1689864
0,150.4050083
0,149.6410302
0,148.8770522
0,148.1130741
0,146.585118
0,143.2617747
0,139.9384314
0,136.6150881
0,133.2917449
0,126.6450583
0,125.4800747
0,124.3150912
0,123.1501076
0,121.9851241
0,119.655157
0,117.5273482
0,115.3995394
0,113.2717305
0,111.1439217
0,106.8883041
0,106.6992018
0,106.5100995
0,106.3209972
0,106.1318949
0,105.7536903
0,108.3981761
0,111.0426619
123,113.6871477
282,116.3316335
453,121.620605
678,121.8786106
907,122.1366161
1153,122.3946217
1337,122.6526272
1492,123.1686383
1617,126.381376
1693,129.5941137
1721,132.8068514
1803,136.0195891
1818,142.4450644
1933,144.2504222
2048,146.05578
2191,147.8611378
2302,149.6664956
2451,153.2772112
2596,155.0440078
2676,156.8108043
2704,158.5776009
2749,162.111194
2714,161.7657426
2717,161.4202912
2708,161.0748398
2710,160.7293884
2715,160.0384856
2728,160.0305968
2720,160.022708
2698,160.0148192
2587,160.0069304
2551,159.9990416
2449,159.9832639
2365,159.0461507
2209,158.1090374
2151,157.1719242
1994,156.2348109
1898,154.3605844
1837,154.7808589
1802,155.2011333
1803,155.6214078
1836,156.0416823
1857,156.8822312
1891,157.7301902
1910,158.5781492
1928,159.4261082
2036,160.2740672
2164,161.9699852
2335,161.6615172
2477,161.3530491
2636,161.044581
2704,160.4276449
2806,159.8301962
2917,159.2327475
2967,158.6352988
2967,158.0378501
2866,156.8429528
2856,156.6152364
2720,156.3875201
2670,156.1598037
2564,155.9320874
2398,155.4766547
2146,155.9872085
1848,156.4977624
1460,157.0083163
1024,157.5188702
653,158.5399779
285,158.2895255
100,158.0390731
0,157.7886207
0,157.2877159
0,157.094133
0,156.9005502
0,156.7069673
0,156.5133845
0,156.3198017
0,155.932636
0,156.1744314
0,156.4162268
0,156.6580222
0,156.8998176
0,157.3834084
0,156.0299435
0,154.6764786
0,153.3230138
0,151.9695489
0,149.2626192
0,147.5934596
0,145.9243
0,144.2551404
0,142.5859808
0,139.2476616
0,135.2007733
0,131.1538851
0,127.1069968
0,119.0132202
0,116.8982856
0,114.7833509
0,112.6684162
0,110.5534815
0,106.3236121
0,105.6390426
0,104.954473
0,104.2699035
0,103.5853339
0,102.2161948
0,102.7788064
0,103.3414179
0,103.9040295
0,105.0292525
0,107.6257094
0,110.2221662
78,112.8186231
186,115.4150799
366,120.6079936
561,122.4409751
825,124.2739567
1049,126.1069383
1205,127.9399199
1339,131.605883
1464,133.5041985
1515,135.4025141
1613,137.3008296
1656,139.1991451
1753,141.0974607
1816,144.8940917
1880,147.8736696
2062,150.8532474
2193,153.8328253
2324,159.7919809
2453,159.9978761
2562,160.2037712
2651,160.4096663
2627,160.6155614
2574,161.0273517
2622,161.0577511
2615,161.0881505
2620,161.1185499
2636,161.1489493
2693,161.1793487
2700,161.2401476
2659,160.3141299
2641,159.3881122
2612,158.4620945
2589,157.5360768
2550,155.6840414
2515,155.7616886
2456,155.8393358
2410,155.916983
2315,155.9946302
2201,156.1499246
2139,156.7389878
2048,157.3280509
2047,157.9171141
1988,158.5061773
1912,159.6843036
1904,159.3175312
1937,158.9507587
1930,158.5839863
1962,158.2172139
1983,157.483669
2065,157.3500554
2123,157.2164418
2151,157.0828282
2420,156.815601
2622,156.6756876
2803,156.5357743
2981,156.3958609
3077,156.1160342
3128,156.1697169
3096,156.2233996
3035,156.2770824
2950,156.3844478
2805,156.9031953
2558,157.4219429
2369,157.9406904
2030,158.4594379
1668,159.496933
1278,159.3635141
817,159.2300952
454,159.0966762
196,158.9632573
45,158.8298384
0,158.5630005
0,158.455386
0,158.3477715
0,158.240157
0,158.1325425
0,157.9173135
0,157.3996353
0,156.8819571
0,156.3642789
0,155.8466007
0,154.8112443
0,154.624018
0,154.4367918
0,154.2495656
0,154.0623394
0,153.6878869
0,151.2656277
0,148.8433684
0,146.4211091
0,141.5765905
0,139.7557883
0,137.934986
0,136.1141838
0,134.2933816
0,130.6517771
0,128.9928751
0,127.3339732
0,125.6750712
0,124.0161693
0,120.6983654
0,120.1497296
0,119.6010937
0,119.0524579
0,117.9551862
0,116.7359232
0,115.5166602
0,114.2973972
0,113.0781342
0,111.8588711
0,109.4203451
0,110.542563
35,111.6647808
219,112.7869987
397,113.9092166
573,116.1536523
772,118.2501771
978,120.3467018
1128,122.4432265
1230,124.5397512
1316,128.7328006
1420,129.9642823
1464,131.195764
1565,132.4272456
1685,133.6587273
1841,136.1216906
1978,139.9847086
2182,143.8477266
2343,147.7107446
2442,155.4367806
2545,156.9371398
2677,158.437499
2728,159.9378582
2752,161.4382174
2748,164.4389359
2745,164.2418743
2712,164.0448128
2677,163.8477513
2647,163.6506898
2611,163.2565667
2581,162.7495017
2524,162.2424366
2455,161.7353716
2382,161.2283065
2335,160.2141765
2253,159.5640539
2176,158.9139314
2134,158.2638088
2048,157.6136863
2014,156.3134412
1951,156.6750555
1909,157.0366697
1870,157.398284
1882,157.7598982
1876,158.4831267
1899,158.2845994
1977,158.0860721
2015,157.8875448
2017,157.4904902
2034,157.4929991
2053,157.495508
2186,157.4980169
2449,157.5005258
2578,157.5030347
2748,157.5080525
2870,157.8235784
2981,158.1391044
3078,158.4546303
3082,158.7701563
3072,159.4012082
3053,159.5492278
3033,159.6972474
2864,159.8452671
2795,160.1413063
2654,159.6099333
2458,159.0785604
2200,158.5471874
1909,158.0158144
1493,156.9530685
1095,157.0038391
634,157.0546097
273,157.1053803
71,157.1561509
0,157.2576922
0,157.1140814
0,156.9704707
0,156.8268599
0,156.6832492
0,156.3960276
0,155.9586799
0,155.5213322
0,155.0839844
0,154.6466367
0,154.2092889
0,153.3345935
0,153.2558834
0,153.1771733
0,153.0984632
0,153.0197531
0,152.862333
0,149.9770022
0,147.0916714
0,144.2063407
0,138.4356791
0,136.0470987
0,133.6585182
0,131.2699378
0,128.8813573
0,124.1041964
0,121.1867256
0,118.2692547
0,115.3517839
0,112.434313
0,106.5993713
0,105.7817042
0,104.964037
0,104.1463699
0,103.3287027
0,101.6933685
0,103.1946448
0,104.6959211
0,106.1971973
0,107.6984736
0,110.7010262
12,111.7208859
172,112.7407456
321,113.7606053
518,114.780465
746,116.8201843
1015,118.1953815
1222,119.5705786
1369,120.9457758
1537,122.3209729
1659,125.0713672
1715,128.576236
1822,132.0811048
1919,135.5859736
2021,139.0908424
2150,146.10058
2298,148.1625554
2439,150.2245307
2574,152.2865061
2711,154.3484815
2822,158.4724322
2935,160.1187045
2927,161.7649769
2944,163.4112492
2904,165.0575216
2882,168.3500663
2841,167.9704847
2790,167.5909032
2739,167.2113216
2679,166.4521585
2602,165.9098927
2535,165.3676269
2468,164.8253612
2380,164.2830954
2312,163.1985638
2248,162.9675951
2224,162.7366264
2151,162.5056576
2105,162.2746889
2135,162.0437202
2034,161.5817828
2007,161.8869206
1992,162.1920584
1990,162.4971962
2011,163.1074718
2035,162.6645755
2085,162.2216792
2324,161.778783
2169,161.3358867
2263,160.4500942
2387,160.7745518
2373,161.0990095
2462,161.4234672
2514,161.7479249
2706,162.3968402
2824,163.0474026
2930,163.6979651
3031,164.3485275
3154,164.9990899
3124,165.6496524
3132,166.9507772
3114,165.9509112
2977,164.9510451
2934,163.951179
2634,162.9513129
2422,160.9515808
2163,160.4496048
1885,159.9476288
1431,159.4456527
998,158.4417007
574,158.7463915
202,159.0510822
83,159.3557729
10,159.6604637
0,160.2698451
0,160.3475011
0,160.4251572
0,160.5028132
0,160.6581252
0,160.2582634
0,159.8584017
0,159.4585399
0,159.0586782
0,158.2589547
0,157.3280272
0,156.3970998
0,155.4661724
0,154.535245
0,152.6733902
0,152.4060171
0,152.1386439
0,151.8712708
0,151.6038976
0,151.0691513
0,146.6066756
0,142.1442
0,137.6817243
0,128.756773
0,127.4436437
0,126.1305144
0,124.8173851
0,123.5042558
0,120.8779972
0,119.3758204
0,117.8736436
0,116.3714668
0,114.86929
0,111.8649364
0,110.9999489
0,110.1349614
0,109.269974
0,108.4049865
0,106.6750116
0,108.9978517
12,111.3206919
176,113.643532
307,115.9663722
508,120.6120525
747,121.3114558
952,122.0108592
1166,122.7102625
1330,123.4096659
1455,124.8084726
1519,127.6563994
1617,130.5043262
1688,133.352253
1866,136.2001798
2017,141.8960335
2231,144.0138367
2428,146.1316399
2603,148.2494431
2669,150.3672463
2876,154.6028528
3011,154.6548106
3115,154.7067685
3065,154.7587263
3091,154.8106841
3039,154.9145998
3004,155.9117039
2989,156.9088081
2943,157.9059122
3002,158.9030163
2971,160.8972246
2871,161.0186066
2847,161.1399887
2791,161.2613707
2721,161.5041347
2670,161.1072353
2895,160.7103359
2682,160.3134366
